,Region,Country,Item_Type,Sales_Channel,Order_Priority,Order_Date,Order_ID,Ship_Date,Units_Sold,Unit_Price,Unit_Cost,Total_Revenue,Total_Cost,Total_Profit
37,Europe,Albania,Cereal,Online,M,01-04-2015,483595263,21-04-2015,5440,205.7,117.11,1119008.0,637078.4,481929.6
7616,Europe,Albania,Household,Online,C,01-04-2015,439907872,11-04-2015,7370,668.27,502.54,4925149.9,3703719.8,1221430.1
19965,Europe,Albania,Household,Online,C,01-04-2015,439907872,11-04-2015,7370,668.27,502.54,4925149.9,3703719.8,1221430.1
26894,Europe,Albania,Cereal,Online,M,01-04-2015,483595263,21-04-2015,5440,205.7,117.11,1119008.0,637078.4,481929.6
32677,Europe,Albania,Household,Online,C,01-04-2015,439907872,11-04-2015,7370,668.27,502.54,4925149.9,3703719.8,1221430.1
7619,Europe,Andorra,Meat,Offline,C,01-04-2015,527282655,02-05-2015,3510,421.89,364.69,1480833.9,1280061.9,200772.0
10552,Europe,Andorra,Baby Food,Offline,M,01-04-2015,570970046,13-05-2015,1580,255.28,159.42,403342.4,251883.6,151458.8
19968,Europe,Andorra,Meat,Offline,C,01-04-2015,527282655,02-05-2015,3510,421.89,364.69,1480833.9,1280061.9,200772.0
32680,Europe,Andorra,Meat,Offline,C,01-04-2015,527282655,02-05-2015,3510,421.89,364.69,1480833.9,1280061.9,200772.0
35952,Europe,Andorra,Baby Food,Offline,M,01-04-2015,570970046,13-05-2015,1580,255.28,159.42,403342.4,251883.6,151458.8
9181,Europe,Armenia,Baby Food,Offline,H,01-04-2015,286214721,07-05-2015,6151,255.28,159.42,1570227.28,980592.42,589634.86
10236,Europe,Armenia,Personal Care,Offline,L,01-04-2015,242527329,27-04-2015,8081,81.73,56.67,660460.13,457950.27,202509.86
12250,Europe,Armenia,Cereal,Offline,H,01-04-2015,198839938,16-04-2015,11,205.7,117.11,2262.7,1288.21,974.49
14881,Europe,Armenia,Household,Online,L,01-04-2015,155152547,05-04-2015,1941,668.27,502.54,1297112.07,975430.14,321681.93
21869,Europe,Armenia,Baby Food,Offline,H,01-04-2015,286214721,07-05-2015,6151,255.28,159.42,1570227.28,980592.42,589634.86
22924,Europe,Armenia,Personal Care,Offline,L,01-04-2015,242527329,27-04-2015,8081,81.73,56.67,660460.13,457950.27,202509.86
23339,Europe,Armenia,Cereal,Offline,H,01-04-2015,198839938,16-04-2015,11,205.7,117.11,2262.7,1288.21,974.49
25970,Europe,Armenia,Household,Online,L,01-04-2015,155152547,05-04-2015,1941,668.27,502.54,1297112.07,975430.14,321681.93
34581,Europe,Armenia,Baby Food,Offline,H,01-04-2015,286214721,07-05-2015,6151,255.28,159.42,1570227.28,980592.42,589634.86
35636,Europe,Armenia,Personal Care,Offline,L,01-04-2015,242527329,27-04-2015,8081,81.73,56.67,660460.13,457950.27,202509.86
37650,Europe,Armenia,Cereal,Offline,H,01-04-2015,198839938,16-04-2015,11,205.7,117.11,2262.7,1288.21,974.49
6018,Europe,Austria,Household,Online,M,01-04-2015,770397222,21-05-2015,6513,668.27,502.54,4352442.51,3273043.02,1079399.49
10537,Europe,Austria,Personal Care,Offline,M,01-04-2015,857772004,22-04-2015,2652,81.73,56.67,216747.96,150288.84,66459.12
12200,Europe,Austria,Baby Food,Offline,C,01-04-2015,901459395,02-05-2015,722,255.28,159.42,184312.16,115101.24,69210.92
15242,Europe,Austria,Cosmetics,Offline,C,01-04-2015,814084613,11-04-2015,4583,437.2,263.33,2003687.6,1206841.39,796846.21
18367,Europe,Austria,Household,Online,M,01-04-2015,770397222,21-05-2015,6513,668.27,502.54,4352442.51,3273043.02,1079399.49
23289,Europe,Austria,Baby Food,Offline,C,01-04-2015,901459395,02-05-2015,722,255.28,159.42,184312.16,115101.24,69210.92
26331,Europe,Austria,Cosmetics,Offline,C,01-04-2015,814084613,11-04-2015,4583,437.2,263.33,2003687.6,1206841.39,796846.21
31079,Europe,Austria,Household,Online,M,01-04-2015,770397222,21-05-2015,6513,668.27,502.54,4352442.51,3273043.02,1079399.49
35937,Europe,Austria,Personal Care,Offline,M,01-04-2015,857772004,22-04-2015,2652,81.73,56.67,216747.96,150288.84,66459.12
37600,Europe,Austria,Baby Food,Offline,C,01-04-2015,901459395,02-05-2015,722,255.28,159.42,184312.16,115101.24,69210.92
874,Europe,Belarus,Cosmetics,Offline,L,01-04-2015,529329288,06-04-2015,9154,437.2,263.33,4002128.8,2410522.82,1591605.98
4375,Europe,Belarus,Clothes,Offline,H,01-04-2015,485641896,16-05-2015,1084,109.28,35.84,118459.52,38850.56,79608.96
16724,Europe,Belarus,Clothes,Offline,H,01-04-2015,485641896,16-05-2015,1084,109.28,35.84,118459.52,38850.56,79608.96
27731,Europe,Belarus,Cosmetics,Offline,L,01-04-2015,529329288,06-04-2015,9154,437.2,263.33,4002128.8,2410522.82,1591605.98
542,Europe,Belgium,Personal Care,Offline,C,01-04-2015,573016679,16-04-2015,7224,81.73,56.67,590417.52,409384.08,181033.44
11721,Europe,Belgium,Cereal,Online,M,01-04-2015,616704070,27-04-2015,5294,205.7,117.11,1088975.8,619980.34,468995.46
27399,Europe,Belgium,Personal Care,Offline,C,01-04-2015,573016679,16-04-2015,7224,81.73,56.67,590417.52,409384.08,181033.44
37121,Europe,Belgium,Cereal,Online,M,01-04-2015,616704070,27-04-2015,5294,205.7,117.11,1088975.8,619980.34,468995.46
2221,Europe,Bosnia and Herzegovina,Clothes,Offline,L,01-04-2015,200886571,11-05-2015,5655,109.28,35.84,617978.4,202675.2,415303.2
3662,Europe,Bosnia and Herzegovina,Household,Offline,L,01-04-2015,288261353,11-04-2015,1795,668.27,502.54,1199544.65,902059.3,297485.35
8334,Europe,Bosnia and Herzegovina,Cosmetics,Offline,H,01-04-2015,244573962,21-05-2015,3725,437.2,263.33,1628570.0,980904.25,647665.75
16011,Europe,Bosnia and Herzegovina,Household,Offline,L,01-04-2015,288261353,11-04-2015,1795,668.27,502.54,1199544.65,902059.3,297485.35
21022,Europe,Bosnia and Herzegovina,Cosmetics,Offline,H,01-04-2015,244573962,21-05-2015,3725,437.2,263.33,1628570.0,980904.25,647665.75
26732,Europe,Bosnia and Herzegovina,Cereal,Online,H,01-04-2015,331948745,22-04-2015,9865,205.7,117.11,2029230.5,1155290.15,873940.35
29078,Europe,Bosnia and Herzegovina,Clothes,Offline,L,01-04-2015,200886571,11-05-2015,5655,109.28,35.84,617978.4,202675.2,415303.2
30519,Europe,Bosnia and Herzegovina,Household,Offline,L,01-04-2015,288261353,11-04-2015,1795,668.27,502.54,1199544.65,902059.3,297485.35
33734,Europe,Bosnia and Herzegovina,Cosmetics,Offline,H,01-04-2015,244573962,21-05-2015,3725,437.2,263.33,1628570.0,980904.25,647665.75
215,Europe,Bulgaria,Cereal,Online,C,01-04-2015,947193419,17-04-2015,4436,205.7,117.11,912485.2,519499.96,392985.24
7432,Europe,Bulgaria,Clothes,Offline,M,01-04-2015,816131246,06-05-2015,227,109.28,35.84,24806.56,8135.68,16670.88
11994,Europe,Bulgaria,Household,Online,M,01-04-2015,903506028,06-04-2015,6366,668.27,502.54,4254206.82,3199169.64,1055037.18
14580,Europe,Bulgaria,Fruits,Offline,C,01-04-2015,859818637,16-05-2015,8297,9.33,6.92,77411.01,57415.24,19995.77
19781,Europe,Bulgaria,Clothes,Offline,M,01-04-2015,816131246,06-05-2015,227,109.28,35.84,24806.56,8135.68,16670.88
23083,Europe,Bulgaria,Household,Online,M,01-04-2015,903506028,06-04-2015,6366,668.27,502.54,4254206.82,3199169.64,1055037.18
25669,Europe,Bulgaria,Fruits,Offline,C,01-04-2015,859818637,16-05-2015,8297,9.33,6.92,77411.01,57415.24,19995.77
27072,Europe,Bulgaria,Cereal,Online,C,01-04-2015,947193419,17-04-2015,4436,205.7,117.11,912485.2,519499.96,392985.24
32493,Europe,Bulgaria,Clothes,Offline,M,01-04-2015,816131246,06-05-2015,227,109.28,35.84,24806.56,8135.68,16670.88
37394,Europe,Bulgaria,Household,Online,M,01-04-2015,903506028,06-04-2015,6366,668.27,502.54,4254206.82,3199169.64,1055037.18
2292,Europe,Croatia,Household,Online,H,01-04-2015,618750703,01-04-2015,938,668.27,502.54,626837.26,471382.52,155454.74
11209,Europe,Croatia,Fruits,Offline,L,01-04-2015,575063312,11-05-2015,2868,9.33,6.92,26758.44,19846.56,6911.88
11758,Europe,Croatia,Snacks,Offline,H,01-04-2015,531375920,30-04-2015,4798,152.58,97.44,732078.84,467517.12,264561.72
29149,Europe,Croatia,Household,Online,H,01-04-2015,618750703,01-04-2015,938,668.27,502.54,626837.26,471382.52,155454.74
36609,Europe,Croatia,Fruits,Offline,L,01-04-2015,575063312,11-05-2015,2868,9.33,6.92,26758.44,19846.56,6911.88
37158,Europe,Croatia,Snacks,Offline,H,01-04-2015,531375920,30-04-2015,4798,152.58,97.44,732078.84,467517.12,264561.72
4921,Europe,Cyprus,Cosmetics,Online,L,01-04-2015,662438094,11-04-2015,9008,437.2,263.33,3938297.6,2372076.64,1566220.96
17270,Europe,Cyprus,Cosmetics,Online,L,01-04-2015,662438094,11-04-2015,9008,437.2,263.33,3938297.6,2372076.64,1566220.96
6091,Europe,Czech Republic,Cosmetics,Online,M,01-04-2015,377682769,06-04-2015,3579,437.2,263.33,1564738.8,942458.07,622280.73
6484,Europe,Czech Republic,Fruits,Online,M,01-04-2015,290307986,06-05-2015,7439,9.33,6.92,69405.87,51477.88,17927.99
7771,Europe,Czech Republic,Snacks,Offline,C,01-04-2015,246620595,25-04-2015,9369,152.58,97.44,1429522.02,912915.36,516606.66
13405,Europe,Czech Republic,Clothes,Online,C,01-04-2015,333995378,17-05-2015,5509,109.28,35.84,602023.52,197442.56,404580.96
18440,Europe,Czech Republic,Cosmetics,Online,M,01-04-2015,377682769,06-04-2015,3579,437.2,263.33,1564738.8,942458.07,622280.73
18833,Europe,Czech Republic,Fruits,Online,M,01-04-2015,290307986,06-05-2015,7439,9.33,6.92,69405.87,51477.88,17927.99
20459,Europe,Czech Republic,Snacks,Offline,C,01-04-2015,246620595,25-04-2015,9369,152.58,97.44,1429522.02,912915.36,516606.66
24494,Europe,Czech Republic,Clothes,Online,C,01-04-2015,333995378,17-05-2015,5509,109.28,35.84,602023.52,197442.56,404580.96
31152,Europe,Czech Republic,Cosmetics,Online,M,01-04-2015,377682769,06-04-2015,3579,437.2,263.33,1564738.8,942458.07,622280.73
31545,Europe,Czech Republic,Fruits,Online,M,01-04-2015,290307986,06-05-2015,7439,9.33,6.92,69405.87,51477.88,17927.99
33171,Europe,Czech Republic,Snacks,Offline,C,01-04-2015,246620595,25-04-2015,9369,152.58,97.44,1429522.02,912915.36,516606.66
3523,Europe,Denmark,Snacks,Offline,L,01-04-2015,861865270,20-04-2015,3941,152.58,97.44,601317.78,384011.04,217306.74
6519,Europe,Denmark,Clothes,Online,L,01-04-2015,949240052,11-05-2015,81,109.28,35.84,8851.68,2903.04,5948.64
11448,Europe,Denmark,Cosmetics,Online,H,01-04-2015,992927443,01-04-2015,8150,437.2,263.33,3563180.0,2146139.5,1417040.5
15872,Europe,Denmark,Snacks,Offline,L,01-04-2015,861865270,20-04-2015,3941,152.58,97.44,601317.78,384011.04,217306.74
18868,Europe,Denmark,Clothes,Online,L,01-04-2015,949240052,11-05-2015,81,109.28,35.84,8851.68,2903.04,5948.64
20328,Europe,Denmark,Fruits,Online,H,01-04-2015,905552661,01-05-2015,2011,9.33,6.92,18762.63,13916.12,4846.51
30380,Europe,Denmark,Snacks,Offline,L,01-04-2015,861865270,20-04-2015,3941,152.58,97.44,601317.78,384011.04,217306.74
31580,Europe,Denmark,Clothes,Online,L,01-04-2015,949240052,11-05-2015,81,109.28,35.84,8851.68,2903.04,5948.64
33040,Europe,Denmark,Fruits,Online,H,01-04-2015,905552661,01-05-2015,2011,9.33,6.92,18762.63,13916.12,4846.51
36848,Europe,Denmark,Cosmetics,Online,H,01-04-2015,992927443,01-04-2015,8150,437.2,263.33,3563180.0,2146139.5,1417040.5
4742,Europe,Estonia,Clothes,Online,H,01-04-2015,664484727,06-05-2015,4652,109.28,35.84,508370.56,166727.68,341642.88
6419,Europe,Estonia,Snacks,Online,H,01-04-2015,577109944,15-04-2015,8512,152.58,97.44,1298760.96,829409.28,469351.68
17091,Europe,Estonia,Clothes,Online,H,01-04-2015,664484727,06-05-2015,4652,109.28,35.84,508370.56,166727.68,341642.88
18768,Europe,Estonia,Snacks,Online,H,01-04-2015,577109944,15-04-2015,8512,152.58,97.44,1298760.96,829409.28,469351.68
20215,Europe,Estonia,Vegetables,Online,L,01-04-2015,620797336,26-04-2015,6582,154.06,90.93,1014022.92,598501.26,415521.66
31480,Europe,Estonia,Snacks,Online,H,01-04-2015,577109944,15-04-2015,8512,152.58,97.44,1298760.96,829409.28,469351.68
32927,Europe,Estonia,Vegetables,Online,L,01-04-2015,620797336,26-04-2015,6582,154.06,90.93,1014022.92,598501.26,415521.66
8460,Europe,Finland,Beverages,Online,C,01-04-2015,292354619,10-04-2015,3083,47.45,31.79,146288.35,98008.57,48279.78
13441,Europe,Finland,Fruits,Offline,L,01-04-2015,708172118,17-05-2015,2722,9.33,6.92,25396.26,18836.24,6560.02
21148,Europe,Finland,Beverages,Online,C,01-04-2015,292354619,10-04-2015,3083,47.45,31.79,146288.35,98008.57,48279.78
24530,Europe,Finland,Fruits,Offline,L,01-04-2015,708172118,17-05-2015,2722,9.33,6.92,25396.26,18836.24,6560.02
33860,Europe,Finland,Beverages,Online,C,01-04-2015,292354619,10-04-2015,3083,47.45,31.79,146288.35,98008.57,48279.78
473,Europe,France,Clothes,Online,C,01-04-2015,379729402,01-05-2015,9223,109.28,35.84,1007889.44,330552.32,677337.12
4128,Europe,France,Fruits,Offline,M,01-04-2015,423416793,12-05-2015,7293,9.33,6.92,68043.69,50467.56,17576.13
13913,Europe,France,Vegetables,Online,M,01-04-2015,336042010,20-04-2015,1153,154.06,90.93,177631.18,104842.29,72788.89
16477,Europe,France,Fruits,Offline,M,01-04-2015,423416793,12-05-2015,7293,9.33,6.92,68043.69,50467.56,17576.13
25002,Europe,France,Vegetables,Online,M,01-04-2015,336042010,20-04-2015,1153,154.06,90.93,177631.18,104842.29,72788.89
27330,Europe,France,Clothes,Online,C,01-04-2015,379729402,01-05-2015,9223,109.28,35.84,1007889.44,330552.32,677337.12
1558,Europe,Georgia,Snacks,Offline,L,01-04-2015,994974076,26-04-2015,3795,152.58,97.44,579041.1,369784.8,209256.3
2508,Europe,Georgia,Beverages,Online,L,01-04-2015,907599294,05-04-2015,7655,47.45,31.79,363229.75,243352.45,119877.3
2902,Europe,Georgia,Vegetables,Online,H,01-04-2015,951286685,15-04-2015,5725,154.06,90.93,881993.5,520574.25,361419.25
7056,Europe,Georgia,Fruits,Offline,H,01-04-2015,138661468,07-05-2015,1864,9.33,6.92,17391.12,12898.88,4492.24
19405,Europe,Georgia,Fruits,Offline,H,01-04-2015,138661468,07-05-2015,1864,9.33,6.92,17391.12,12898.88,4492.24
28415,Europe,Georgia,Snacks,Offline,L,01-04-2015,994974076,26-04-2015,3795,152.58,97.44,579041.1,369784.8,209256.3
29365,Europe,Georgia,Beverages,Online,L,01-04-2015,907599294,05-04-2015,7655,47.45,31.79,363229.75,243352.45,119877.3
29759,Europe,Georgia,Vegetables,Online,H,01-04-2015,951286685,15-04-2015,5725,154.06,90.93,881993.5,520574.25,361419.25
32117,Europe,Georgia,Fruits,Offline,H,01-04-2015,138661468,07-05-2015,1864,9.33,6.92,17391.12,12898.88,4492.24
102,Europe,Germany,Snacks,Offline,M,01-04-2015,710218751,21-04-2015,8366,152.58,97.44,1276484.28,815183.04,461301.24
11382,Europe,Germany,Beverages,Online,M,01-04-2015,622843968,20-05-2015,2226,47.45,31.79,105623.7,70764.54,34859.16
13792,Europe,Germany,Office Supplies,Online,C,01-04-2015,666531360,10-04-2015,296,651.21,524.96,192758.16,155388.16,37370.0
24881,Europe,Germany,Office Supplies,Online,C,01-04-2015,666531360,10-04-2015,296,651.21,524.96,192758.16,155388.16,37370.0
26959,Europe,Germany,Snacks,Offline,M,01-04-2015,710218751,21-04-2015,8366,152.58,97.44,1276484.28,815183.04,461301.24
